V1,Date,CodRes,PM2.5,Cod,ano,month
1788,2023-11-28,ID_3123528,11.79558182,3123528,2023,11
1789,2023-11-29,ID_3123528,9.402451515,3123528,2023,11
1790,2023-11-30,ID_3123528,8.728244781,3123528,2023,11
1791,2023-12-01,ID_3123528,8.205885887,3123528,2023,12
1792,2023-12-02,ID_3123528,9.74866581,3123528,2023,12
1793,2023-12-03,ID_3123528,9.754739761,3123528,2023,12
1794,2023-12-04,ID_3123528,7.829302311,3123528,2023,12
1795,2023-12-05,ID_3123528,10.89056587,3123528,2023,12
1796,2023-12-06,ID_3123528,6.942507744,3123528,2023,12
1797,2023-12-07,ID_3123528,4.288197994,3123528,2023,12
1798,2023-12-08,ID_3123528,3.613991261,3123528,2023,12
1799,2023-12-09,ID_3123528,5.484763145,3123528,2023,12
1800,2023-12-10,ID_3123528,6.316892624,3123528,2023,12
1801,2023-12-11,ID_3123528,6.578071594,3123528,2023,12
1802,2023-12-12,ID_3123528,10.16776752,3123528,2023,12
1803,2023-12-13,ID_3123528,4.871295929,3123528,2023,12
1804,2023-12-14,ID_3123528,3.777987719,3123528,2023,12
1805,2023-12-15,ID_3123528,5.199288368,3123528,2023,12
1806,2023-12-16,ID_3123528,5.029218197,3123528,2023,12
1807,2023-12-17,ID_3123528,9.827627182,3123528,2023,12
1808,2023-12-18,ID_3123528,8.965127945,3123528,2023,12
1809,2023-12-19,ID_3123528,4.998848438,3123528,2023,12
1810,2023-12-20,ID_3123528,6.517332554,3123528,2023,12
1811,2023-12-21,ID_3123528,6.316892624,3123528,2023,12
1812,2023-12-22,ID_3123528,6.50518465,3123528,2023,12
1813,2023-12-23,ID_3123528,11.5526247,3123528,2023,12
1814,2023-12-24,ID_3123528,9.621112823,3123528,2023,12
1815,2023-12-25,ID_3123528,8.460991859,3123528,2023,12
1816,2023-12-26,ID_3123528,7.65923214,3123528,2023,12
1817,2023-12-27,ID_3123528,8.442770004,3123528,2023,12
1818,2023-12-28,ID_3123528,8.600691795,3123528,2023,12
1819,2023-12-29,ID_3123528,8.400252342,3123528,2023,12
1820,2023-12-30,ID_3123528,10.88449192,3123528,2023,12
8373,2023-01-01,ID_3153509,7.97728397,3153509,2023,1
8374,2023-01-02,ID_3153509,10.58360878,3153509,2023,1
8375,2023-01-03,ID_3153509,9.095822133,3153509,2023,1
8376,2023-01-04,ID_3153509,10.28151236,3153509,2023,1
8377,2023-01-05,ID_3153509,11.07915325,3153509,2023,1
8378,2023-01-06,ID_3153509,12.76052174,3153509,2023,1
8379,2023-01-07,ID_3153509,6.709045667,3153509,2023,1
8380,2023-01-08,ID_3153509,7.297239959,3153509,2023,1
8381,2023-01-09,ID_3153509,8.663906212,3153509,2023,1
8382,2023-01-10,ID_3153509,6.562265896,3153509,2023,1
8383,2023-01-11,ID_3153509,9.804990738,3153509,2023,1
8384,2023-01-12,ID_3153509,10.23553033,3153509,2023,1
8385,2023-01-13,ID_3153509,8.709608729,3153509,2023,1
8386,2023-01-14,ID_3153509,8.744987438,3153509,2023,1
8387,2023-01-15,ID_3153509,6.618708684,3153509,2023,1
8388,2023-01-16,ID_3153509,4.271458422,3153509,2023,1
8389,2023-01-17,ID_3153509,5.006566287,3153509,2023,1
8390,2023-01-18,ID_3153509,7.328173149,3153509,2023,1
8391,2023-01-19,ID_3153509,7.60013652,3153509,2023,1
8392,2023-01-20,ID_3153509,12.90364416,3153509,2023,1
8393,2023-01-21,ID_3153509,9.324408552,3153509,2023,1
8394,2023-01-22,ID_3153509,10.28016432,3153509,2023,1
8395,2023-01-23,ID_3153509,12.84737845,3153509,2023,1
8396,2023-01-24,ID_3153509,11.27045227,3153509,2023,1
8397,2023-01-25,ID_3153509,10.69353516,3153509,2023,1
8398,2023-01-26,ID_3153509,8.21858179,3153509,2023,1
8399,2023-01-27,ID_3153509,9.362467904,3153509,2023,1
8400,2023-01-28,ID_3153509,7.740534609,3153509,2023,1
8401,2023-01-29,ID_3153509,7.23676849,3153509,2023,1
8402,2023-01-30,ID_3153509,8.284981062,3153509,2023,1
8403,2023-01-31,ID_3153509,4.486446095,3153509,2023,1
8404,2023-02-01,ID_3153509,5.162474215,3153509,2023,2
8405,2023-02-02,ID_3153509,5.836964428,3153509,2023,2
8406,2023-02-03,ID_3153509,5.535534275,3153509,2023,2
8407,2023-02-04,ID_3153509,4.660501227,3153509,2023,2
8408,2023-02-05,ID_3153509,5.386322439,3153509,2023,2
8409,2023-02-06,ID_3153509,9.629855515,3153509,2023,2
8410,2023-02-07,ID_3153509,9.38917675,3153509,2023,2
8411,2023-02-08,ID_3153509,9.151375178,3153509,2023,2
8412,2023-02-09,ID_3153509,6.377706758,3153509,2023,2
8413,2023-02-10,ID_3153509,7.268737982,3153509,2023,2
8414,2023-02-11,ID_3153509,6.318819524,3153509,2023,2
8415,2023-02-12,ID_3153509,6.688277414,3153509,2023,2
8416,2023-02-13,ID_3153509,8.161843619,3153509,2023,2
8417,2023-02-14,ID_3153509,5.148994148,3153509,2023,2
8418,2023-02-15,ID_3153509,4.739699274,3153509,2023,2
8419,2023-02-16,ID_3153509,7.011173496,3153509,2023,2
8420,2023-02-17,ID_3153509,7.708446336,3153509,2023,2
8421,2023-02-18,ID_3153509,7.754372738,3153509,2023,2
8422,2023-02-19,ID_3153509,9.799302694,3153509,2023,2
8423,2023-02-20,ID_3153509,7.944234011,3153509,2023,2
8424,2023-02-21,ID_3153509,5.60973836,3153509,2023,2
8425,2023-02-22,ID_3153509,9.147657754,3153509,2023,2
8426,2023-02-23,ID_3153509,8.385333713,3153509,2023,2
8427,2023-02-24,ID_3153509,8.472532612,3153509,2023,2
8428,2023-02-25,ID_3153509,6.850910131,3153509,2023,2
8429,2023-02-26,ID_3153509,5.353359444,3153509,2023,2
8430,2023-02-27,ID_3153509,6.459201704,3153509,2023,2
8431,2023-02-28,ID_3153509,6.806882374,3153509,2023,2
8432,2023-03-01,ID_3153509,6.716691984,3153509,2023,3
8433,2023-03-02,ID_3153509,7.49485313,3153509,2023,3
8434,2023-03-03,ID_3153509,4.48130646,3153509,2023,3
8435,2023-03-04,ID_3153509,5.615086857,3153509,2023,3
8436,2023-03-05,ID_3153509,4.477676477,3153509,2023,3
8437,2023-03-06,ID_3153509,5.340383657,3153509,2023,3
8438,2023-03-07,ID_3153509,7.305213032,3153509,2023,3
8439,2023-03-08,ID_3153509,7.752414465,3153509,2023,3
8440,2023-03-09,ID_3153509,7.57818181,3153509,2023,3
8441,2023-03-10,ID_3153509,5.360899771,3153509,2023,3
8442,2023-03-11,ID_3153509,6.772808049,3153509,2023,3
